english,polish,polish_alternatives
acidity,kwasowość,jadowitość
ack,potwierdzony,
acne,trądzik,
acorn,żołądź,
acoustic,akustyczny,
acoustics,akustyka,
acquaint,zaznajamiać,
acquiesce,zgadzać,
acquire,zdobywać,nabywać
acquisition,nabytek,
acquit,zachowywać,
acquittal,uniewinnienie,
acrimony,zażartość,
act,popisywać,
acting,pełniący,
activate,aktywować,uruchamiać
active,aktywny,intensywny
activist,działacz,
actress,aktorka,
actual,faktyczny,
actuality,właściwie,
actually,istocie,
acumen,zdolności,żyłka
ad,ogłoszenie,roku pańskiego
ad hoc,doraźny,
adamant,niewzruszony,
adams apple,jabłko adama,
adaptability,przystosowalność,
adaptable,łatwo,
adapter,rozgałęźnik,
adaptor,rozgałęźnik,
adder,żmija,
addiction,uzależnienie,"narkomania
 2.  łakomstwo"
addictive,powodujący,
additional,dodatkowy,
additive,dodatek,
adept,biegły,zręczny
adequacy,wystarczającość,adekwatność
adequate,wystarczający,właściwy
adherence,przestrzeganie,
adherent,stronnik,
adhesion,przyleganie,przylepność
adjacent,sąsiadujący,
adjectival,przymiotnikowy,
adjective,przymiotnik,
adjoin,przylegać,stykać się
adjourn,odraczać,odkładać
adjournment,odroczenie,
adjudged,uznawany,
adjudicate,wyrokować,
adjust,regulować,
adjustable,dostosowywalny,
administrative,administracyjny,
administrator,zarządca,
admirable,godny,
admiral,admirał,
admire,podziwiać,
admiring,pełen,
admissible,przyjęcia,
admittance,wejście,zezwolenie na wejście
admonish,karcić,
adolescence,dojrzewania,
adopt,adoptować,przyjmować
adoption,przyjmowanie,
adorable,miły,
adoration,uwielbienie,
adore,uwielbiać,
adorn,przyozdabiać,
adrift,dryfujący,
adroit,biegły,
adulation,czołobitność,
adult,dorosły,dojrzały
adulterate,chrzcić,chrzcić mleko|fałszować
adultery,cudzołóstwo,
adulthood,dorosłość,
advantageous,korzystny,
advent,nadejście,
adverb,przysłówek,
adverbial,przysłówkowy,
adversary,przeciwnik,
adverse,niekorzystny,
advert,ogłoszenie,
advertisement,ogłoszenie,
advertiser,reklamująca,osoba reklamująca się
advertising,ogłoszenia,
advisable,celowy,
advt,ogłoszenie,
aerodrome,lotnisko,
aesthetic,estetyczny,
affable,życzliwy,
affect,pozować,
affected,afektowany,
affection,uczucie,
affectionate,pełen,
affiliated,afiliowany,przyłączony
affinity,bliskość,
affirm,stwierdzać,
affirmative,twierdzący,
affix,umocować,
affliction,udręka,
affluence,dostatek,
affluent,majętny,
afoot,szykowany,
aforementioned,wyżej,
aforesaid,wyżej,
afraid,się,
afresh,nowa,
africa,afryka,
african,afrykański,
aftereffect,następstwo,skutek późniejszy
aftermath,pokłosie,
aftershave,płyn,
afterward,później,
afterwards,później,
age,"starość
 3.  wiek",
ageless,ponadczasowy,
agenda,rozkład,
aggravate,pogarszać,irytować
aggregate,zespół,zbiór
aggression,agresywność,
aggressive,zaczepny,
aggrieved,zirytowany,
aggro,napastliwość,
aghast,przerażony,
agile,sprawny,
agility,zwinność,sprawność
agitate,agitować,
agitation,podniecenie,
agitator,orędownik,
agm,zgromadzenie,
agog,podniecony,
agonize,przemyśliwać,zadręczać się
agony,cierpienie,
ail,niedomagać,
ailment,dolegliwość,
aimless,bezcelowy,
air,budynek,
airfield,małe,
airing,wietrzenie,"przewietrzanie
 2.  rozgłaszanie"
airless,duszny,
airline,linia,
airliner,pasażerski,
airsick,chorobę,
airspace,przestrzeń,
airtraffic control,kontrola lotów,
airwaves,radiowe,
airy,przestronny,lekkomyślny|niepoważny
akin,podobny,
alarm,budzik,
alarming,zatrważający,
albanian,albański,albańczyk
albeit,choć,
alcoholic,alkoholowy,alkoholik
alcove,alkowa,
alert,ostrzegać,uważny
algeria,algieria,
alienation,wyobcowanie,niechęć
align,wyrównywać,"porządkować
 2.  sprzymierzać się"
alignment,wyrównanie,"porządkowanie
 2.  sprzymierzenie się"
alike,równi,
alive,być,
allegation,domniemanie,
allege,domniemywać,
alleged,domniemany,
allegiance,lojalność,
allegorical,alegoryczny,
allegory,alegoria,
allergic,alergiczny,
allergy,alergia,
alleviation,zelżenie,
alley,dróżka,
alliance,współpraca,
allied,sprzymierzony,podobny
allin,całkowity,
allnight,całonocny,
allocate,przeznaczać,przydzielać
allocation,przydział,
allot,przydzielić,
allotment,ogródek,przydział
allow,mieć,
allowable,dopuszczalny,
allpowerful,wszechpotężny,
allude,robić,
almond,migdał,
aloft,górze,
alone,własną,
aloof,"powściągliwy
 2.  z dala",
aloud,głośno,na głos
alphabetical,alfabetyczny,
alphanumeric,alfanumeryczny,
alpine,wysokogórski,
already,już,
also,także,
altar,ołtarz,
alter,zmieniać,"zmieniać
 2.  przerabiać"
alternating,zmienny,
alternation,następstwo,
although,chociaż,
altitude,wysokość,
ama,amerykańskie,
amalgamate,łączyć,
amass,zgromadzić,
amateur,domorosły,
amateurish,domorosły,
amaze,zadziwiać,
amazement,zdumienie,
amazing,zdumiewający,
amber,bursztynowy,
ambidextrous,oburęczny,
ambiguity,niejednoznaczność,
ambiguous,dwuznaczny,
ambitious,przebojowy,ambitny
ambivalent,ambiwalentny,
ameliorate,ulepszać,
amenable,skłonny,podlegający
amend,poprawiać,
amendment,poprawka,
amenity,udogodnienie,
america,ameryka,
american,amerykański,
amiable,przyjazny,
amicable,polubowny,
amid,pośród,
amidst,pośród,
amnesty,amnestia,
among,pomiędzy,
amongst,pomiędzy,
amoral,amoralny,
amorous,erotyczny,
amorphous,amorficzny,bezkształtny
amount,być,
amphibian,płaz,
amphibious,ziemno-wodny,
amplification,wzmocnienie,wyjaśnienie
amputate,amputować,
amuse,zabawiać,
amused,rozbawiony,
amusing,zabawny,
anachronism,anachronizm,
anachronistic,anachroniczny,
anaemia,anemia,
anaesthesia,anesthesia,
anaesthetic,środek znieczulający,
anal,odbytowy,
analgesic,środek,
analogous,analogiczny,
analogy,analogia,
analyse,analizować,
analytic,analityczny,
analytical,analityczny,
analyze,analizować,
anarchist,anarchistyczny,
anarchy,anarchia,
anatomical,anatomiczny,
anatomy,anatomia,
ancestor,przodek,
ancestral,rodowy,
ancestry,pochodzenie,ród
ancillary,podrzędny,
anecdote,żart,
anemia,anaemia,
anesthesia,anaesthesia,
anesthetic,środek znieczulający,
anew,nowa,
angel,anioł,
angle,nachylony,
angler,wędkarz,
anglican,anglikański,
angry,gniewać,
anguish,cierpienie,
animated,ożywiony,animowany
animation,ożywienie,
animosity,niechęć,
ankle,kostka,
annex,skrzydło,"dobudówka 
ii.    anektować"
annihilate,unicestwiać,
annihilation,unicestwienie,
anno domini,roku pańskiego,
announce,ogłaszać,"zawiadamiać
 2.  oznajmiać"
announcement,zawiadomienie,ogłoszenie
annoy,drażnić,złościć
annoyance,rozzłoszczenie się,
annul,anulować,rozwiązywać
anoint,namaszczać,
anomalous,nieprawidłowy,
anomaly,anomalia,
anonymity,anonimowość,
anonymous,anonimowy,
anorak,kurtka,
another,się wzajemnie,
ans,odpowiedź,
ansi,narodowy,
answer,być,
answerable,odpowiedzialny,
ant,mrówka,
antagonist,przeciwnik,
antagonistic,przeciwny,
antagonize,zrażać,
antecedent,poprzednik,
anthology,antologia,
anthropology,antropologia,
antibiotic,antybiotykowy,
anticipate,przewidywać,wyczekiwać
anticipation,przewidywanie,oczekiwanie
anticlimax,rozczarowanie,zawód
anticyclone,ciśnienia,
antipathy,antypatia,
antiquarian,antykwaryczny,
antiquated,przestarzały,
antiseptic,środek,
antisocial,aspołeczny,
antithesis,przeciwieństwo,
antler,poroże,
antwerp,antwerpia,
anvil,kowadło,
anyhow,jakkolwiek,
anywhere,gdziekolwiek,
apathetic,apatyczny,
apathy,apatia,
apex,wierzchołek,
apiece,osobę,na sztukę
aplomb,pewność,
apolitical,apolityczny,
apologetic,przepraszający,"for 
 - przepraszać za"
apologize,prosić,przepraszać
apology,prośba,
apostle,apostoł,
app,dodatek,
appal,napełniać niesmakiem,zatrważać
appall,napełniać niesmakiem,zatrważać
appalling,zatrważający,okropny
apparatus,urządzenie,
apparent,pozorny,
appeal,odwołanie,
appealing,atrakcyjny,
appease,łagodzić,
append,dodawać,dołączać
appetizing,apetyczny,
applaud,oklaskiwać,
apple,jabłoń,
appliance,urządzenie,
application,podanie,zgłoszenie (for - do
applied,stosowany,
apply,zgłaszać,
appraise,oceniać,
appreciable,znaczny,
appreciative,rozumiejący,
apprenticeship,praktyka,
appro,zatwierdzenie,
approachable,przystępny,
approximation,przybliżenie,oszacowanie
apr,kwiecień,
april,kwiecień,
aptitude,zdolność,
aquatic,wodny,
arable,orny,
arbitrary,arbitralny,
arbitrate,rozstrzygać,
arbitration,arbitraż,
arc,łuk,
archaeology,archeologia,
archaic,archaiczny,
archer,łucznik,
archery,łucznictwo,
ardent,zapalony,
ardor,zapał,
ardour,zapał,
arduous,nużący,
argentinian,argentyński,
argumentative,kłótliwy,
arid,jałowy,
arise,powstawać,
ark,arka,
armed,siły,
armenian,ormiański,
armful,naręcze,
armistice,zawieszenie,
army,armia,
aromatic,aromatyczny,
arousal,obudzenie,
arouse,pobudzać,
array,zgromadzenie,ukazywać
arrest,aresztowanie,
arrive,przybywać,
arrow,strzała,strzałka
arsenic,arszenik,
arson,umyślne,
artefact,wytwór ludzi,
artery,tętnica,
artful,zręczny,
article,artykuł,
articulation,wyartykułowanie,
artificiality,sztuczność,
artillery,artyleria,
artisan,rzemieślnik,
artistic,artystyczny,twórczy
artistry,sztuka,
artless,naiwny,
arty,interesujący,
ascertain,stwierdzać,
ascetic,ascetyczny,
ascribe,przypisywać,
asexual,bezpłciowy,
ashtray,popielniczka,
ask,ktoś,
askew,skrzywiony,
asp,osika,
aspect,postać,
aspirant,"for 
 - aspirować do",
aspire,dążyć,
aspiring,ambitny,
assail,atakować,osaczać
assailant,napastnik,
assassinate,mordować,
assemble,gromadzić,"gromadzić
 2.  montować"
assembly,linia,
assent,aprobować,
assess,oceniać,szacować
assessment,oszacowanie,
asset,majątek,
assiduous,pilny,
assignment,zadanie,przydział
assimilate,asymilować,
assimilation,przyswajanie,
assist,pomagać,
assoc,stowarzyszenie,
assorted,mieszany,różniący się
assortment,wybór,
asst,zastępca,
assume,zakładać,przypuszczać (that -
assuming,przyjmując,
assumption,przyjmować,
assurance,pewnością,
assure,zapewniać,upewniać się
assured,pewny,
asterisk,gwiazdka,
asthmatic,astmatyczny,
astir,poruszony,
astonish,zadziwiać,
astonishment,zdumienie,
astound,zdumiewać,
astringent,środek,"ściągający
ii.    ostry"
astrology,astrologia,
astronomical,astronomiczny,
astronomy,astronomia,
astute,zręczny,
atheism,ateizm,
athletic,atletyczny,lekkoatletyczny
athletics,lekka,
atmospheric,atmosferyczny,
atomic,atomowy,
atone,odpokutowywać,
atrocious,odrażający,
attach,przyłączać,"dołączać 
 2.  odnosić się|odnosić"
attached,przywiązany,
attachment,przywiązanie,przystawka
attack,atakować,
attain,osiągać,
attainable,osiągnięcia,osiągalny
attainment,osiągnięcie,
attempted,usiłowany,
attendance,"obecność
 2.  uczęszczanie",
attest,poświadczać,
attested,atestowany,
attire,odzienie,
attraction,pociąg,
attractive,atrakcyjny,
attribute,"i.    przypisywać 
ii.    cecha",
aubergine,bakłażan,
auburn,kasztanowy,
auction,licytować,wyprzedawać
audacious,zuchwały,śmiały
audacity,czelność,
audible,słyszalny,
audience,widownia,"publiczność
 2.  audiencja"
audio,dźwiękowy,
auditor,biegły,
aug,sierpień,
augment,zwiększać,
augur,wróżyć,
august,dostojny,sierpień
aunt,ciotka,
auntie,ciocia,
aural,dźwiękowy,słuchowy
auspicious,pomyślny,
aussie,australia,
austere,niewyszukany,
austerity,surowość,
authentic,autentyczny,
authenticate,potwierdzać,
authenticity,autentyczność,
authoritarian,apodyktyczny,
authoritative,autorytatywny,wyczerpujący
authorization,upoważnienie,
auto,samochód,
autobiographical,autobiograficzny,
autobiography,autobiografia,
autograph,podpisywać,składać autografy
automate,automatyzować,
automobile,samochód,
autonomous,autonomiczny,
autonomy,autonomia,
autopsy,zwłok,
autumnal,jesienny,
availability,dostępność,
available,dostępny,osiągalny
avarice,chciwość,
avenge,mścić,
averse,niechętny,
avert,zapobiegać,odwracać
aviary,ptaszarnia,
avid,zapalony,złakniony
avoid,uchylać,unikać
avoidable,uniknięcia,
avoidance,uchylanie,
avowed,zdeklarowany,
avuncular,protekcjonalny,
await,oczekiwać,
awake,budzić,
awakening,przebudzenie,
award,przyznawać,zasądzać
away,wyszedł,
awe,bojaźń,
awed,pełen,
aweinspiring,wzbudzający respekt,
awestruck,pełen respektu,przytłoczony
awkward,niezręczny,"nieporęczny|ciężki
 3.  trudny"
awry,iść,
axe,redukować,
azerbaijan,azerbejdżan,
azerbaijani,azerbejdżański,azerbejdżanin
azure,błękitny,
b and b,zakwaterowanie,
babble,szemrać,
babyhood,niemowlęctwo,
babyish,dziecinny,dziecięcy
babysit,opiekować się dziećmi,
babysitting,opiekowanie się dziećmi,
bachelor,bakałarz,
back,do tyłu,
backbiting,obmowa,
backbreaking,w pocie czoła,
backdate,antedatować,
backdoor,zakulisowy,
background,doświadczenie,
backhanded,wątpliwy,
backing,poparcie,podpórka
backlog,zaległości,
backside,tyłek,
backstage,zakulisowy,
backstreet,nielegalny,
backstroke,grzbietowy,
backwater,zaścianek,
backyard,podwórko,
badge,znaczek,
badger,marudzić,
badly,poważnie,
bag,torba podróżna,
baggage,bagaż,
baggy,rozepchany,
bail,wyskakiwać,
bailiff,komornik,zarządca
baked beans,fasolka,
baking,pieczenie,
bald,osłonek,
balding,łysiejący,
baldly,ogródek,
bale,wiązka,
balk,zapierać się,
balloon,balonik,wydymać
ballroom,balowa,
balmy,balsamiczny,
bamboozle,wpuszczać w maliny,
banal,banalny,
banality,banalność,banał
band,grupować się,
bandage,bandaż,bandażować
bandit,rozbójnik,
bandy about,rozpowszechniać,
banger,ogień,
banister,poręcz,
banjo,bandżo,
bank,wyciąg bankowy,"ława
ii.  bank holiday"
banking,bankowość,
bannister,poręcz,
banter,przekomarzanie,"przekomarzać się
ii.    paplanina"
baptize,chrzcić,
barbarian,barbarzyńca,
barbaric,barbarzyński,
barbarism,barbarzyństwo,
barbarous,prymitywny,barbarzyński
barber,męski,
barefaced,bezwstydny,
bark,iść fałszywym tropem,
barley,jęczmień,
barmaid,barmanka,
barn,stodoła,
baroness,baronowa,
barrel,się,
barren,bezpłodny,jałowy
barricade,barykadować,"zapora
ii.    barykadować się"
barring,wyjąwszy,
barrow,taczka,wózek
barter,wymieniać,sprzedaż wymienna
baseless,bezpodstawny,
bashful,płochliwy,
basis,według ... czegoś,
basketball,koszykówka,
baste,polewać tłuszczem,
bastion,oparcie,
bather,kąpiący,
bathroom,łazienka,
battery,seria,
battleship,okręt,
bauble,błyskotka,
baulk,zapierać się,
bawdy,rubaszny,
beach,plaża,
beacon,sygnał,sygnał świetlny
bead,paciorek,
beak,dziób,
beaker,kubek,
bearable,wytrzymania,
bearded,z brodą,
bearer,doręczyciel,
beating,pobicie,
beautiful,piękny,
beautify,upiększać,
beauty,miejscowość widokowa,
because,ponieważ,
beck,bek,
beckon,skinąć,wzywać
become,stawać się,
bedclothes,pościel,
bedding,pościel,
bedlam,wariatów,
bedridden,łóżka,
bedrock,podwaliny,
bedroom,sypialnia,
bedside,łóżku,"przy łóżku
 2.  at"
bedsitter,kawalerka,wynajęty pokój
bedspread,narzuta na łóżko,
beef,wołowina,
beefy,silny,umięśniony
been,on był w,
beetle,chrząszcz,żuk
beetroot,burak ćwikłowy,
befall,przydarzyć się,
befit,wypadać,
befriend,zaprzyjaźnić się,
befuddle,zamraczać,
beggar,żebrak,
beginner,początkujący,
begrudge,mieć za złe,
beguile,oczarowywać,łudzić
behave,zachowywać się,
behaviour,zachowanie się,
behold,oglądać,
beige,beż,
belarus,białoruś,
belated,spóźniony,
beleaguered,osaczony,oblężony
belgium,belgia,
belie,zadawać kłam,
believer,"i.    zwolennik 
ii.    wierzący",
belittle,pomniejszać,
bell,dzwonek,
belongings,czyjeś rzeczy,
belorussia,białoruś,
belorussian,białoruski,białorusin
below,poniżej,
bemoan,opłakiwać,
bemused,oszołomiony,
bench,ława,ławka
bend,schylać,"zginać|zginać
ii.   1.  zakręt"
benefactor,dobroczyńca,
beneficial,dobroczynny,
benefit,pożytek,świadczenie
benevolence,wyrozumiałość,
benevolent,wyrozumiały,łagodny
benign,łagodny,niezłośliwy
bequeath,przekazać,przekazać w spadku
bereaved,pogrążony w smutku,
bereavement,utrata kogoś bliskiego,
beseech,błagać,upraszać
beseeching,błagalny,
beset,dręczyć,
best,pozdrowienia,
bestman,drużba,
bestow,obdarzyć,
bet,co można zrobić,i.    stawiać|no pewnie że
betray,zdradzać,
between,między,pomiędzy
beverage,napój,
beware,strzec się,
bewildered,oszołomiony,
bewitch,oczarowywać,
bias,nastawienie,stronniczość
bib,śliniak,
bible,biblia,
biblical,biblijny,
bibliographical,bibliografia,
bibliography,bibliografia,
bicentenary,dwustulecie,
bicker,sprzeczać,
bigoted,fanatyczny,
bigotry,bigoteria,
bile,żółć,
bilingual,dwujęzyczny,
bilious,odpychający,"wstrętny
 2.  zgryźliwy"
billboard,reklamy,
billiard,bilardowy,
billow,nadymać,
bin,śmieci,
binary,binarny,dwójkowy
bind,wiązać,związywać
binding,okładka,oblamowanie
biographical,biograficzny,
biological,biologiczny,
bird,drapieżnik,
birdcage,klatka,
biro,długopis,
birthday,urodziny,
biscuit,herbatnik,
bisect,przecinać,
biting,kąśliwy,
bitter,zacięty,
bk,księga,
blackberry,jeżyna,
blackcurrant,porzeczka,
blacken,psuć,
blackmail,szantaż,szantażować
blackmailer,szantażysta,
blackout,zaciemnienie,omdlenie
bladder,pęcherz,
blade,"brzeszczot
 2.  łopata",
blame,i.    robić zarzuty,potępiać
blanch,wybielić,zbieleć
blanket,ogólny,
blaspheme,bluźnić,
blasphemous,bluźnierczy,
blasphemy,bluźnierstwo,
blast,wznosić się,wznosić się w powietrze
blasted,cholerny,
blastoff,wzniesienie się,wzniesienie się w powietrze
blatant,bezwstydny,
bldg,budynek,
bleach,środek czyszczący,
bleak,posępny,
bleary,załzawiony,
bleed,krwawić,
bleeding,krwawienie,
blemish,plamka,psuć|rujnować
bless,bóg zapłać'',
blessing,błogosławieństwo,dar boży
blight,i.    nieszczęście,
blindfold,przepaska,przewiązać oczy
blindfolded,zawiązanymi,
blindly,oślep,
blindness,ślepota,
blinkered,zaślepiony,
blinkers,końskie okulary,
bliss,błogość,szczęście
blistering,rozpalony,
blizzard,zamieć,zamieć śnieżna
bloated,naćkany,
blockage,zatkanie,
blood,naczynie krwionośne,
bloodbath,łaźnia,
bloodcurdling,mrożący,mrożący krew w żyłach
bloodshed,rozlanie,
bloodshot,nabiegły,
bloodstained,skrwawiony,
bloodthirsty,krwiożerczy,
bloody,pieprzony,
bloodyminded,złośliwy,
blotch,znamię,
blotting paper,bibuła,
bludgeon,zadawać,zmuszać
bluebottle,końska,mucha końska plujka
bluff,by odkrył karty,
blunder,błąd,"łazić
ii.    poważny błąd"
blur,wypaplać,"zamazywać
 2.  zacierać się"
blurred,zamazany,
blush,"czerwienić
ii.    rumieniec",czerwienić się|i.    rumienić się|rumienić
bluster,rzucanie,
bo,ciała,zapach ciała smród
boarder,stołownik,
boarding,szkoła z internatem,
boastful,chełpliwy,
boating,żeglarstwo,
bobbin,szpulka,
bode,być,
body,karoseria,
bodywork,karoseria,
bog,ugrzęznąć,
bogus,podrabiany,
boiler,kocioł,kocioł centralnego ogrzewania
boisterous,żywiołowy,
bolster,wspierać,
bombard,bombardować,ostrzeliwać
bombardment,ostrzał,
bonanza,złota żyła,
bondage,zniewolenie,
bone,"ość
ii.    usuwać kości",
bonfire,ogień,
bonhomie,jowialność,
bonnet,czapka,
bonus,premia,
bony,kościsty,
boo,i.    wygwizdywać,
booboo,idiotyczny błąd,
boobytrap,i.    mina pułapka,
book,zająć,
bookcase,biblioteczka,
bookish,książkowy,
bookkeeping,księgowość,
booklet,książeczka,
bookmark,zakładka,
bookseller,księgarz,
bookshelf,biblioteczka,
bookshop,księgarnia,
bookstore,księgarnia,
bookworm,mól,
booth,budka,
bootstrap,ładować,"inicjować
ii.    ładowanie początkowe"
booty,łup,
bop,"i.    przytup
ii.    podskakiwać",
borderline,dyskusyjny,
born,narodzić się,
borough,okręg,okręg miejski
borrow,pożyczać,
borrower,pożyczający,
bossy,władczy,
botanic,botaniczny,
botanical,botaniczny,
botanist,botanik,
botany,botanika,
bother,niepokoić,
bottom,siedzenie,
bottomless,bezdenny,
boulder,głaz,skała
bounce,i.    odbicie się,
bouncer,wykidajło,
bouncy,energiczny,
boundless,bezgraniczny,
bourgeoisie,burżuazja,
bout,spotkanie,
bowler,melonik,
bowling,kręgle,
box,"stłaczać
iv.  box office",
boycott,bojkotować,
boyfriend,chłopak,
boyhood,dzieciństwo,okres chłopięcy
boyish,chłopięcy,
bracelet,bransoletka,
bracken,paproć orlica,
bracket,podpórka,"przedział
 2.  wspornik"
brag,przechwalać się,
brain,głowa,radzić się kogoś
brainchild,oryginalny,pomysł
brainless,bezmózgi,
brainwash,urabiać,
brainwashing,pranie,
brainwave,olśnienie,
brainy,głową,
branch,"oddział
 4.  władza",
brandish,wywijać,
brawn,mięśnie,siła fizyczna
bray,ryczeć,"niemiłe dźwięki|ryczeć
 2.  wydawać głośne"
brazen,bezczelny,
brazier,żelazny,
breadth,szerokość,
breadwinner,żywiciel,
break,łamać,łamać się
breakage,stłuczenie,stłuczki
breakdown,"załamanie
 3.  awaria",
breaker,bałwan,
breakin,włamanie,
breakneck,karkołomny,
breakthrough,przełom,
breast,wyznać coś,
breastbone,mostek,
breaststroke,żabka,
breathalyze,badać,badać trzeźwość kierowcy
breathe,wciągać powietrze,
breather,odetchnienie,
breathtaking,zapierający,
breed,spędzić dzieciństwo,
breezy,przewiewny,dynamiczny
brevity,krótkotrwałość,lapidarność
brew,zanosić się na,zanosić się na coś
briar,dzika,
bribe,przekupywać,
bribery,łapownictwo,
bridal,weselny,ślubny
bride,panna młoda,
bridegroom,młody,
bridle,ogłowie,
brief,instruować,
briefcase,aktówka,
briefing,instruktaż,
bright,"świecący
 3.  bystry",
brighten,rozjaśniać,
brilliance,roziskrzenie,
brilliant,jarzący,"jaskrawy
 4.  świetlisty|znakomity
 3.  olśniewający"
brisk,"dobry
 4.  rześki",
bristly,szczeciną,
britain,brytania,
brittle,łamliwy,"kruchy
 2.  bezwzględny"
broach,poruszać,
broad,bób,
broadcast,nadawać,
broadly,ogólnie,
broadminded,tolerancyjny,
broccoli,brokuły,
brokenhearted,ze złamanym sercem,
broker,pośrednik,
bronzed,pięknie opalony,
brooch,broszka,
brooding,groźny,niepokojący
broody,zadumany,lęgowy
brook,strumień,
broom,miotła,
broomstick,miotły,
bros,bracia,
browbeat,zmuszać,zmuszać używając presji moralnej
brown,brązowić,
brownish,brązowawy,
bruise,"i.    siniak
ii.    siniaczyć",
brunette,brunetka,
brushwood,zarośla,
brusque,szorstki w obejściu,
brutality,brutalność,
brutalize,czynić,czynić brutalnym
brute,zwierzę,
brutish,brutalny,zwierzęcy
bsc,bakałarz,
bsi,normalizacyjny,
bubble,balonowa,guma balonowa do żucia
buck,głowa do góry'',
bucket,umrzeć,
budding,przyszły,
buddy,bracie,
budgerigar,papużka,
budget,uwzględniać,
budgetary,budżetowy,
budgie,papużka,papużka falista
buffer,buforowy,
buffet,dworcowa,
bugle,trąbka,
builtin,wbudowany,
bulgaria,bułgaria,
bulgarian,"i.    bułgarski
ii.    bułgar",
bulge,i.    sterczeć,
bulky,obszerny,
bulldoze,zburzyć,"przemieszczać|zburzyć
 2.  przemieszczać spychaczem"
bullet,nabój,
bulletin,wiadomości,
bullion,sztaby złota,
bullock,wół,
bullseye,środek,
bully,coś,
bulrush,pałka,pałka szerokolistna
bulwark,osłona,
bumble,plątać,
bumptious,nadęty,
bun,bułka,
bundle,tłumok,"zapakowywać|zawiniątko
ii.    pakować"
bung,wtykać,
bungalow,domek,
bungle,fuszerować,partaczyć
bunker,pojemnik,
bunny,króliczek,
bunting,oflagowanie,
buoy,podtrzymywać,
buoyancy,pływalność,beztroska
burden,ciężar,obarczać
bureau,urząd,filia
bureaucrat,urzędnik,
bureaucratic,biurokratyczny,
burglar,przeciwwłamaniowy,
burglarize,włamywać,
burglary,włamanie,
burgle,włamywać,
burial,pochówek,
burn,wypalić,wypalić się
burner,palnik,
burning,rozpalony,
burnish,polerować,
burp,"i.    bekać
ii.    beknięcie",
burrow,przekopywać,"ryć|wkopywać się
 2.  grzebać"
burst,"otworzyć
 3.  wpadać","rozwalać
 2.  otworzyć się|rozwalać się"
bushy,bujny,
businesslike,rzeczowy,
businessman,przedsiębiorca,
businesswoman,biznesmenka,
bustle,krzątanina,
busybody,wścibski,
butcher,mięsny,
butchery,rzeź,
butt,"obiekt
ii.    bóść",uderzyć z byka
buttock,pośladek,
button,zapinać,
buttress,wzmacniać,wzmacniać przyporami
buxom,jędrny,przy kości
buzz,spływaj'',
buzzard,myszołów,
buzzer,brzęczyk,
bye,cześć,
byelaw,zarządzenie lokalne,
byelection,wybory uzupełnaijące,
byelorussia,białoruś,
byelorussian,"i.    białoruski
ii.    białorusin",
bygone,było,
bylaw,zarządzenie lokalne,
bypass,miejska,
byproduct,uboczny,
bystander,przechodzień,
byword,hasło,
c of e,kościół,
cabin,domek,
