english,polish,polish_alternatives
camouflage,kamuflaż,
campaign,kampania,
candidate,kandydat,
candle,świeca,
candy,cukierek,
canoe,kajak,
canyon,kanion,
captain,kapitan,
car,samochód,
cardigan,rozpinany sweter,
cards,karty,
carnival,karnawał,
carpenter,stolarz,
carpet,dywan,
carrot,marchewka,
carry,nieść,
cash,gotówka,
cashier,kasjer,
cast,gips,
castle,zamek,
cat,kot,
catch,łapać,
caterpillar,gąsienica,
cathedral,katedra,
cavalry,kawaleria,
cave,jaskinia,
celebration,świętowanie,
celery,seler,
cemetery,cmentarz,
censorship,cenzura,
census,spis ludności,
century,wiek,
cereal,płatki,
certificate,certyfikat,
chain,łańcuch,
chair,krzesło,
chalk,kreda,
chancellor,rektor,
channel,kanał,
chaos,chaos,
charger,ładowarka,
check-in,zameldowanie,
check-out,wymeldowanie,
checkers,warcaby,
cheek,policzek,
cheese,ser,
cheetah,gepard,
chef,szef kuchni,
cherry,wiśnia,
chess,szachy,
chest,klatka piersiowa,
chicken,kurczak,
child,dziecko,
chimpanzee,szympans,
chin,broda,
chirp,ćwir,
chocolate,czekolada,
chopsticks,pałeczki,
chromosome,chromosom,
chronic,przewlekły,
church,kościół,
cinnamon,cynamon,
circle,koło,
circus,cyrk,
citation,cytat,
citizen,obywatel,
city,miasto,
clean,czysty,
clever,mądry,
cliff,klif,
climate,klimat,
climb,wspinać się,
clock,zegar,
clog,chodak,
clone,klon,
close,zamykać,
closet,szafa,
cloud,chmura,
clown,klaun,
cluck,ko,
coalition,koalicja,
coat,płaszcz,
cockadoodledoo,kukuryku,
cocktail,koktajl,
coconut,kokos,
coffee,kawa,
coin,moneta,
coincidence,zbieg okoliczności,
colander,durszlak,
cold,zimny,
colleague,kolega z pracy,
collector,kolekcjoner,
college,koledż,
colonel,pułkownik,
comb,grzebień,
combination lock,zamek szyfrowy,
come,przychodzić,
committee,komitet,
communion,komunia,
commute,dojazd do pracy,
commuter,dojeżdżający,
company,firma,
compare,porównywać,
competition,konkurs,
composer,kompozytor,
compound,związek chemiczny,
computer,komputer,
conductor,dyrygent,konduktor
conference,konferencja,
confession,spowiedź,przyznanie się
confirmation,bierzmowanie,
confused,zdezorientowany,
congregation,kongregacja,
congressman,kongresmen,
conscience,sumienie,
consciousness,świadomość,
constituency,okręg wyborczy,
constitution,konstytucja,
consulate,konsulat,
container,pojemnik,
contract,umowa,
cook,gotować,
cookie,ciastko,
cool,chłodny,
corkscrew,korkociąg,
corn,kukurydza,
costume,kostium,
cough,kaszel,
council,rada,
country,kraj,
coupon,kupon,
courage,odwaga,
court,sąd,
cousin,kuzyn,
cow,krowa,
cowardice,tchórzostwo,
coworker,współpracownik,
crab,krab,
cracker,krakers,
crane,dźwig,
crash,awaria,
cravat,fular,
crayon,kredka,
cream,śmietana,kremowy
credit card,karta kredytowa,
crib,łóżeczko,
crime,przestępstwo,
crimson,karmazynowy,
crocodile,krokodyl,
crooked,krzywy,
cross,krzyż,
crowd,tłum,
crown,korona,
crutches,kule,
cry,płakać,
cucumber,ogórek,
cufflink,spinka do mankietu,
cummerbund,szarfa,
cup,kubek,
curious,ciekawy,
currency,waluta,
current,prąd,
curriculum,program nauczania,
curry,curry,
curtain,zasłona,
cushion,poduszka,
customer,klient,
customs,odprawa celna,
cut,ciąć,
cutlery,sztućce,
cutting board,deska do krojenia,
cyan,cyjan,
dance,tańczyć,
danger,niebezpieczeństwo,
dangerous,niebezpieczny,
database,baza danych,
daughter,córka,
day,dzień,
dead,martwy,
deadline,termin,
dean,dziekan,
debate,debata,
debit card,karta debetowa,
debt,dług,
decade,dekada,
decline,upadek,
decoration,odznaczenie,
deep,głęboki,
deer,jeleń,
defeat,porażka,
defendant,oskarżony,
degree,stopień naukowy,
democracy,demokracja,
demotion,degradacja,
dentist,dentysta,
departure,odlot,
deposit,zaliczka,
depressed,przygnębiony,
descendant,potomek,
describe,opisywać,
desert,pustynia,
dessert,deser,
destiny,przeznaczenie,
detergent,detergent,
diabetes,cukrzyca,
diagnosis,diagnoza,
diaper,pielucha,
dice,kostki,
die,umierać,
different,inny,
dinner,kolacja,
dinosaur,dinozaur,
diploma,dyplom,
diplomat,dyplomata,
director,reżyser,
dirty,brudny,
disappointed,rozczarowany,
disaster,katastrofa,
discount,zniżka,
discover,odkrywać,
disease,choroba,
dissertation,dysertacja,
doctor,lekarz,
doctorate,doktorat,
document,dokument,
dog,pies,
doll,lalka,
dolphin,delfin,
domino,domino,
donkey,osioł,
donut,pączek,
door,drzwi,
doorknob,klamka,
doormat,wycieraczka,
dosage,dawkowanie,
dot,kropka,
download,pobieranie,
dragon,smok,
draw,rysować,
drawer,szuflada,
dress,sukienka,
dress rehearsal,próba generalna,
drill,wiertarka,
drink,pić,
driver,kierowca,
drop,upuszczać,
drought,susza,
drum,bęben,
dry,suchy,
duck,kaczka,
dull,tępy,
eagle,orzeł,
ear,ucho,
earache,ból ucha,
earring,kolczyk,
earthquake,trzęsienie ziemi,
eat,jeść,
economist,ekonomista,
ecosystem,ekosystem,
editor,redaktor,
egg,jajko,
eight,osiem,
eighteen,osiemnaście,
elbow,łokieć,
election,wybory,
electrician,elektryk,
element,pierwiastek,
elephant,słoń,
elevator,winda,
eleven,jedenaście,
email,email,
embargo,embargo,
embarrassed,zawstydzony,
embassy,ambasada,
emergency,nagły wypadek,
employee,pracownik,
employer,pracodawca,
empty,pusty,
encore,bis,
engine,silnik,
engineer,inżynier,
enter,wchodzić,
enthusiastic,entuzjastyczny,
envelope,koperta,
equality,równość,
era,era,
escalator,schody ruchome,
espadrille,espardylla,
evidence,dowód,
evolution,ewolucja,
exam,egzamin,
excavator,koparka,
exchange rate,kurs wymiany,
excited,podekscytowany,
exhibition,wystawa,
expense,wydatek,
experiment,eksperyment,
expiration date,data ważności,
explain,wyjaśniać,
export,eksport,
extension cord,przedłużacz,
eye,oko,
eyebrow,brew,
eyelash,rzęsa,
fabric softener,płyn do zmiękczania,
face,twarz,
factory,fabryka,
fair,jarmark,
faith,wiara,
fake,fałszywy,
falcon,sokół,
fall,spadać,
falsehood,fałsz,
family,rodzina,
fan,wentylator,
fantasy,fantazja,
farm,farma,
farmer,rolnik,
fast,szybki,
fasting,post,
father,ojciec,
favorite,ulubiony,
feel,czuć,
fellowship,stypendium naukowe,
felony,przestępstwo,
fence,płot,
ferry,prom,
fever,gorączka,
fifteen,piętnaście,
file,plik,
find,znaleźć,
finger,palec,
fingernail,paznokieć,
finish,kończyć,
fire,ogień,
fire extinguisher,gaśnica,
fire station,remiza,
fire truck,wóz strażacki,
firefighter,strażak,
firewall,zapora sieciowa,
first aid kit,apteczka,
fish,ryba,
five,pięć,
flag,flaga,
flamingo,flaming,
flashlight,latarka,
flood,powódź,
floor,podłoga,
flour,mąka,
flower,kwiat,
fly,latać,mucha
fog,mgła,
folder,teczka,folder
food,jedzenie,
foot,stopa,
footnote,przypis,
forbid,zabraniać,
force,zmuszać,
forehead,czoło,
foreigner,cudzoziemiec,
forest,las,
forget,zapominać,
fork,widelec,
forklift,wózek widłowy,
form,formularz,
fort,forteca,
fountain,fontanna,
four,cztery,
fourteen,czternaście,
fox,lis,
fraud,oszustwo,
freckle,pieg,
free,wolny,
freedom,wolność,
friction,tarcie,
friday,piątek,
fridge,lodówka,
friend,przyjaciel,
frisbee,frisbee,
frog,żaba,
frost,mróz,
frustrated,sfrustrowany,
full,pełny,
funeral,pogrzeb,
funny,śmieszny,
furniture,meble,
fuse box,skrzynka bezpiecznikowa,
gallery,galeria,
game,gra,
garage,garaż,
garden,ogród,
garlic,czosnek,
gas station,stacja benzynowa,
gene,gen,
general,generał,
ghost,duch,
gift,prezent,
ginger,imbir,
giraffe,żyrafa,
girl,dziewczynka,
give,dawać,
glacier,lodowiec,
gland,gruczoł,
glass,szklanka,
glasses,okulary,
glove,rękawiczka,
glue,klej,
go,iść,
goat,koza,
gobble,gul gul,
gold,złoty,
good,dobry,
gorilla,goryl,
government,rząd,
governor,gubernator,
gown,suknia wieczorowa,
grandchild,wnuk,
grandma,babcia,
grandpa,dziadek,
grant,dotacja,
grape,winogrono,
grass,trawa,
grateful,wdzięczny,
gravity,grawitacja,
gravy,sos pieczeniowy,
gray,szary,
green,zielony,
grenade,granat,
grill,grill,
groom,pan młody,
group,grupa,
grow,rosnąć,
growl,warczeć,
guarantee,gwarancja,
guest,gość,
guilty,winny,
guitar,gitara,
gum,dziąsło,
gym,siłownia,
habitat,siedlisko,
hail,grad,
hair,włosy,
half,połowa,
hallway,korytarz,
ham,szynka,
hamburger,hamburger,
hammer,młotek,
hamster,chomik,
hand,ręka,
handcuffs,kajdanki,
handkerchief,chusteczka,
hanger,wieszak,
happy,szczęśliwy,
hard,twardy,
hardware,sprzęt,sprzęt komputerowy
harmony,harmonia,
hat,kapelusz,
hate,nienawidzić,
hawk,jastrząb,
he,on,
head,głowa,
headache,ból głowy,
headline,nagłówek,
headphones,słuchawki,
hear,słyszeć,
hearing aid,aparat słuchowy,
heart,serce,
heater,grzejnik,
heavy,ciężki,
hedgehog,jeż,
helicopter,helikopter,
helmet,kask,
help,pomagać,
herb,zioło,
here,tutaj,
hide,chować,
highway,autostrada,
hinge,zawias,
hip,biodro,
hippopotamus,hipopotam,
hiss,syczeć,
historian,historyk,
hold,trzymać,
hole,dziura,
holiday,święta,
homework,praca domowa,
homicide,zabójstwo,
honest,uczciwy,
honey,miód,
hopeful,pełen nadziei,
horizon,horyzont,
horse,koń,
hospital,szpital,
hostel,hostel,
hot,gorący,
hotel,hotel,
hour,godzina,
house,dom,
how,jak,
howl,wyć,
hug,przytulać,
hula hoop,hula hop,
hundred,sto,
hungry,głodny,
hurricane,huragan,
hurry,śpieszyć się,
husband,mąż,
hyena,hiena,
hypertension,nadciśnienie,
hypothesis,hipoteza,
i,ja,
ice,lód,
ice cream,lody,
ignorance,ignorancja,
illegal,nielegalny,
illusion,iluzja,
imagination,wyobraźnia,
imam,imam,
immigration,imigracja,
immunity,odporność,
implant,implant,
import,import,
impossible,niemożliwy,
income,dochód,
indigo,indygo,
industry,przemysł,
infantry,piechota,
infection,infekcja,
ingredient,składnik,
injection,zastrzyk,
innovation,innowacja,
insurance,ubezpieczenie,
interest,odsetki,
interest rate,stopa procentowa,
intern,stażysta,
internet,internet,
interrogation,przesłuchanie,
invent,wynajdywać,
investigate,badać,
investment,inwestycja,
invoice,faktura,
iron,żelazko,
island,wyspa,
itinerary,plan podróży,
jacket,kurtka,
jam,dżem,
jaw,szczęka,
jealous,zazdrosny,
journalist,dziennikarz,
judge,sędzia,
juice,sok,
jump,skakać,
jump rope,skakanka,
jungle,dżungla,
jury,ława przysięgłych,
justice,sprawiedliwość,
kangaroo,kangur,
ketchup,keczup,
key,klucz,
keyboard,klawiatura,
kick,kopać,
kind,miły,
king,król,
kiss,całować,
kitchen,kuchnia,
kite,latawiec,
kitten,kociak,
knee,kolano,
knife,nóż,
know,wiedzieć,
knowledge,wiedza,
knuckle,kłykieć,
koala,koala,
laboratory,laboratorium,
ladder,drabina,
ladle,chochla,
ladybug,biedronka,
lake,jezioro,
laminator,laminator,
lamp,lampa,
landlord,właściciel,
landmine,mina lądowa,
landscape,pejzaż,
laptop,laptop,
latch,zatrzask,
laugh,śmiać się,
laundry,pranie,
lavender,lawendowy,
law,prawo,
lawyer,prawnik,
lazy,leniwy,
leaf,liść,
learn,uczyć się,
leave,wychodzić,
lecture,wykład,
lecturer,wykładowca,
leftovers,resztki,
leg,noga,
legal,legalny,
legislation,ustawodawstwo,
lemon,cytryna,
leopard,lampart,
lesson,lekcja,
letter,list,
level,poziomica,
liberty,wolność,
library,biblioteka,
license,pozwolenie,
lieutenant,porucznik,
ligament,więzadło,
light,światło,lekki
light bulb,żarówka,
lighter,zapalniczka,
lightning,piorun,
limousine,limuzyna,
line,linia,
lion,lew,
lip,warga,
listen,słuchać,
live,mieszkać,
loafer,mokasyn,
loan,pożyczka,
lobby,hol,
lobster,homar,
login,logowanie,
logout,wylogowanie,
lonely,samotny,
long,długi,
loose,luźny,
lose,przegrać,
loss,strata,
lost,zagubiony,
loud,głośny,
love,kochać,
luggage,bagaż,
lunch,obiad,
lung,płuco,
machine,maszyna,
magazine,czasopismo,
magenta,magenta,
magic,magia,
magic wand,różdżka,
magician,magik,
magnet,magnes,
mail,poczta,
mailbox,skrzynka pocztowa,
majority,większość,
makeup,makijaż,
malignant,złośliwy,
malware,złośliwe oprogramowanie,
man,mężczyzna,
manage,zarządzać,
manager,kierownik,
manual,instrukcja,
map,mapa,
marble,szklana kulka,
marines,piechota morska,
marionette,marionetka,
marker,marker,
market,rynek,
maroon,bordowy,
mask,maska,
master,magister,
masterpiece,arcydzieło,
matches,zapałki,
mattress,materac,
mayonnaise,majonez,
mayor,burmistrz,
me,mnie,
mean,wredny,
meat,mięso,
mechanic,mechanik,
medal,medal,
medicine,lekarstwo,
meeting,spotkanie,
memo,notatka służbowa,
memory,pamięć,
meow,miau,
microphone,mikrofon,
microscope,mikroskop,
milk,mleko,
millennium,tysiąclecie,
million,milion,
minivan,minivan,
minority,mniejszość,
minute,minuta,
minutes,protokół,
miracle,cud,
mirror,lustro,
misdemeanor,wykroczenie,
missile,pocisk,
mistake,błąd,
modern,nowoczesny,
mole,pieprzyk,
molecule,cząsteczka,
monday,poniedziałek,
money,pieniądze,
monk,mnich,
monkey,małpa,
monsoon,monsun,
monster,potwór,
month,miesiąc,
monument,pomnik,
moo,muu,
moon,księżyc,
mop,mop,
morning,rano,
mortgage,hipoteka,
mosque,meczet,
mosquito,komar,
motel,motel,
mother,matka,
motive,motyw,
motorcycle,motocykl,
mountain,góra,
mouse,myszka,mysz
mouth,usta,
movie theater,kino,
mri,rezonans magnetyczny,
mud,błoto,
muffin,muffin,
muscle,mięsień,
museum,muzeum,
mushroom,grzyb,
music,muzyka,
musician,muzyk,
mustard,musztarda,
mutation,mutacja,
my,mój,
nail,gwóźdź,paznokieć
name,imię,
napkin,serwetka,
narrow,wąski,
navy,marynarka wojenna,
navy blue,granatowy,
necessary,konieczny,
neck,szyja,
necklace,naszyjnik,
neigh,iiihaaa,
neighbor,sąsiad,
nephew,siostrzeniec,
nerve,nerw,
nervous,nerwowy,
network,sieć,
new,nowy,
newspaper,gazeta,
niece,siostrzenica,
night,noc,
nine,dziewięć,
nineteen,dziewiętnaście,
nipple,sutek,
no,nie,
normal,normalny,
nose,nos,
nostril,nozdrze,
notebook,zeszyt,
notification,powiadomienie,
nun,zakonnica,
nurse,pielęgniarka,
nut,orzech,nakrętka
oatmeal,owsianka,
observatory,obserwatorium,
ocean,ocean,
octopus,ośmiornica,
office,biuro,
official,oficjalny,
oil,olej,
oink,chrum,
old,stary,
one,jeden,
onion,cebula,
open,otwierać,
opposition,opozycja,
or,albo,
orange,pomarańcza,pomarańczowy
orangutan,orangutan,
orchestra,orkiestra,
organ,organy,
organize,organizować,
orphan,sierota,
otter,wydra,
our,nasz,
oven,piekarnik,
overalls,kombinezon,
overtime,nadgodziny,
owl,sowa,
pacemaker,rozrusznik serca,
pacifier,smoczek,
package,paczka,
padlock,kłódka,
painkiller,środek przeciwbólowy,
paint,farba,malować
painter,malarz,
pair,para,
pajamas,piżama,
palate,podniebienie,
palm,dłoń,
pan,patelnia,
pancake,naleśnik,
panda,panda,
pants,spodnie,
paper,papier,
paperclip,spinacz,
parade,parada,
parcel,przesyłka,
parent,rodzic,
park,park,
parliament,parlament,
parole,zwolnienie warunkowe,
parrot,papuga,
part,część,
particle,cząstka,
party,przyjęcie,
passenger,pasażer,
passport,paszport,
password,hasło,
pasta,makaron,
pastor,pastor,
patient,pacjent,
pea,groszek,
peace,pokój,
peach,brzoskwinia,
peacock,paw,
pear,gruszka,
pelvis,miednica,
pen,długopis,
pencil,ołówek,
pendant,wisiorek,
penguin,pingwin,
pension,emerytura,
pepper,papryka,
performance,występ,
permanent,trwały,
petal,płatek,
pew,ławka kościelna,
pharmacist,farmaceuta,
pharmacy,apteka,
philosopher,filozof,
photocopy,kserokopia,
photographer,fotograf,
piano,pianino,
pick up,podnosić,
picture,obrazek,
pie,placek,
piece,kawałek,
pig,świnia,
pilgrim,pielgrzym,
pilgrimage,pielgrzymka,
pill,tabletka,
pillow,poduszka,
pilot,pilot,
pineapple,ananas,
pink,różowy,
pirate,pirat,
pizza,pizza,
plagiarism,plagiat,
plaintiff,powód,
plate,talerz,
platypus,dziobak,
play,bawić się,
playdough,plastelina,
playground,plac zabaw,
please,proszę,
pliers,szczypce,
plumber,hydraulik,
pocket,kieszeń,
police officer,policjant,
police station,komisariat,
policy,polityka,
polite,grzeczny,
politician,polityk,
poll,sondaż,
pollen,pyłek,
polo,koszulka polo,
pond,staw,
poor,biedny,
popcorn,popcorn,
porcupine,jeżozwierz,
portrait,portret,
possible,możliwy,
post office,poczta,
postcard,pocztówka,
postdoctoral,postdoktorancki,
pot,garnek,
potato,ziemniak,
power outlet,gniazdko,
power strip,listwa zasilająca,
prayer,modlitwa,
preferences,preferencje,
premiere,premiera,
prepare,przygotowywać,
prescription,recepta,
presentation,prezentacja,
president,prezydent,
pretty,ładny,
pretzel,precel,
priest,ksiądz,
prince,książę,
princess,księżniczka,
principal,dyrektor szkoły,
printer,drukarka,
printout,wydruk,
prison,więzienie,
prisoner,więzień,
private,prywatny,
probation,okres próbny,
producer,producent,
professor,profesor,
profile,profil,
profit,zysk,
prognosis,rokowanie,
programmer,programista,
progress,postęp,
promise,obiecywać,
promotion,awans,
pronounce,wymawiać,
propaganda,propaganda,
prophet,prorok,
props,rekwizyty,
proud,dumny,
public,publiczny,
puddle,kałuża,
pull,ciągnąć,
puppet,pacynka,
puppy,szczeniak,
purple,fioletowy,
purse,torebka,
push,pchać,
put,kłaść,
puzzle,puzzle,
quack,kwa,
queen,królowa,
quiet,cichy,
quilt,kołdra,
rabbi,rabin,
rabbit,królik,
raccoon,szop,
race,wyścig,
radio,radio,
rain,deszcz,
rainbow,tęczowy,tęcza
raincoat,płaszcz przeciwdeszczowy,
raisin,rodzynek,
ramp,podjazd,
raspberry,malina,
rat,szczur,
rattle,grzechotka,
reaction,reakcja,
read,czytać,
real,prawdziwy,
reality,rzeczywistość,
receipt,paragon,
receive,dostawać,
reception,recepcja,
receptionist,recepcjonista,
recipe,przepis,
recommend,polecać,
recruit,rekrut,
red,czerwony,
referendum,referendum,
refund,zwrot pieniędzy,
refuse,odmawiać,
regulation,przepis,
rehabilitation,rehabilitacja,
rehearsal,próba,
relative,krewny,
relieved,ulżony,
religion,religia,
remember,pamiętać,
rent,czynsz,
reservation,rezerwacja,
resignation,rezygnacja,
responsible,odpowiedzialny,
restaurant,restauracja,
retirement,emerytura,
return,wracać,
rhinoceros,nosorożec,
rib,żebro,
ribbit,kum,
rice,ryż,
rich,bogaty,
ring,pierścionek,
river,rzeka,
roar,ryk,
roast,pieczeń,
robbery,rabunek,
robot,robot,
rock,kamień,
rocket,rakieta,
roller skates,wrotki,
rolling pin,wałek,
roof,dach,
room,pokój,
roommate,współlokator,
rooster,kogut,
root,korzeń,
rope,lina,
rough,szorstki,
router,router,
rude,niegrzeczny,
rug,dywanik,
run,biegać,
sacrifice,ofiara,
sad,smutny,
safe,bezpieczny,
sailboat,żaglówka,
saint,święty,
salad,sałatka,
salary,pensja,
salt,sól,
salty,słony,
same,taki sam,
sample,próbka,
sand,piasek,
sandal,sandały,
sandpaper,papier ścierny,
sandwich,kanapka,
satellite,satelita,
saturday,sobota,
sausage,kiełbasa,
savings,oszczędności,
saw,piła,
scared,przestraszony,
scarf,szalik,
scarlet,szkarłatny,
schedule,harmonogram,
scholarship,stypendium,
school,szkoła,
scientist,naukowiec,
scissors,nożyczki,
scooter,hulajnoga,
screen,ekran,
screenplay,scenariusz,
screw,śruba,
screwdriver,śrubokręt,
script,scenariusz,
sculptor,rzeźbiarz,
sculpture,rzeźba,
seal,foka,
search engine,wyszukiwarka,
second,sekunda,
secret,tajemnica,
secretary,sekretarka,
see,widzieć,
seed,nasiono,
semester,semestr,
seminar,seminarium,
senate,senat,
senator,senator,
send,wysyłać,
sentence,wyrok,
sergeant,sierżant,
sermon,kazanie,
server,serwer,
settings,ustawienia,
seven,siedem,
seventeen,siedemnaście,
shadow,cień,
shallow,płytki,
shark,rekin,
sharp,ostry,
she,ona,
sheep,owca,
sheet,prześcieradło,
shelf,półka,
shield,tarcza,
shin,goleń,
shirt,koszula,
shoes,buty,
short,niski,
shorts,szorty,
shoulder,ramię,
show,pokazywać,
shredder,niszczarka,
shrimp,krewetka,
shy,nieśmiały,
sick,chory,
side effect,efekt uboczny,
signal,sygnał,
signature,podpis,
silver,srebrny,
sing,śpiewać,
singer,piosenkarz,
sink,zlew,
sister,siostra,
sit,siedzieć,
six,sześć,
sixteen,szesnaście,
skateboard,deskorolka,
skin,skóra,
skull,czaszka,
skunk,skunks,
sky,niebo,
skyscraper,drapacz chmur,
sled,sanki,
sleep,spać,
slide,zjeżdżalnia,slajd
slipper,kapcie,
slippery,śliski,
slow,wolny,
small,mały,
smell,wąchać,
smile,uśmiechać się,
smoke detector,czujnik dymu,
smooth,gładki,
snail,ślimak,
snake,wąż,
sneaker,trampki,
sneeze,kichanie,
snow,śnieg,
soap,mydło,
sock,skarpetka,
sofa,kanapa,
soft,miękki,
software,oprogramowanie,
soldier,żołnierz,
son,syn,
soprano,sopran,
sorry,przepraszam,
soup,zupa,
spaceship,statek kosmiczny,
spam,spam,
speak,mówić,
speaker,głośnik,
special,specjalny,
species,gatunek,
specimen,okaz,
spell,literować,
spice,przyprawa,
spider,pająk,
spinach,szpinak,
spine,kręgosłup,
spoon,łyżka,
spreadsheet,arkusz kalkulacyjny,
spring,wiosna,
square,kwadrat,
squeak,piszczeć,
squirrel,wiewiórka,
stadium,stadion,
stain remover,odplamiacz,
stained glass,witraż,
staircase,klatka schodowa,
stairs,schody,
stamp,znaczek pocztowy,znaczek
stand,stać,
standing ovation,owacja na stojąco,
stapler,zszywacz,
star,gwiazda,
start,zaczynać,
steak,stek,
stew,gulasz,
stick,patyk,
sticky,lepki,
stiletto,szpilka,
still life,martwa natura,
stock market,giełda,
stomach,brzuch,
stomachache,ból brzucha,
stop,zatrzymać,
store,sklep,
storm,burza,
story,historia,
straight,prosty,
stranger,nieznajomy,
strawberry,truskawka,
stream,strumień,
street,ulica,
stroller,wózek,
strong,silny,
student,uczeń,
stuffed animal,pluszak,
stupid,głupi,
subordinate,podwładny,
subway,metro,
sugar,cukier,
suggest,sugerować,
suitcase,walizka,
summer,lato,
sun,słońce,
sunday,niedziela,
sunglasses,okulary przeciwsłoneczne,
supermarket,supermarket,
supervisor,przełożony,
surgeon,chirurg,
surgery,operacja,
surprise,niespodzianka,
surprised,zaskoczony,
suspenders,szelki,
swamp,bagno,
swan,łabędź,
sweater,sweter,
sweet,słodki,
swim,pływać,
swimming pool,basen,
swimsuit,strój kąpielowy,
swing,huśtawka,
sword,miecz,
syllabus,sylabus,
symphony,symfonia,
symptom,objaw,
synagogue,synagoga,
syndrome,zespół,
syringe,strzykawka,
syrup,syrop,
table,stół,
tablecloth,obrus,
take,brać,
tall,wysoki,
tan,opalony,
tank,czołg,
tank top,podkoszulek,
tape measure,miarka,
taste,smakować,
tax,podatek,
taxi,taksówka,
tea,herbata,
teach,uczyć,
teacher,nauczyciel,
team,zespół,
teddy bear,miś,
teenager,nastolatek,
telecommute,praca zdalna,
telephone,telefon,
telescope,teleskop,
television,telewizor,
tell,mówić,
temple,świątynia,
temporary,tymczasowy,
ten,dziesięć,
tendon,ścięgno,
tenor,tenor,
tent,namiot,
terminal,terminal,
termination,zwolnienie,
testimony,zeznanie,
textbook,podręcznik,
thank you,dziękuję,
that,tamto,
theft,kradzież,
theory,teoria,
therapy,terapia,
there,tam,
thermometer,termometr,
thermostat,termostat,
thesis,praca dyplomowa,
they,oni,
thick,gruby,
thigh,udo,
thin,cienki,
think,myśleć,
thirsty,spragniony,
thirteen,trzynaście,
this,to,
thorn,kolec,
